code_qp,lib_qp
QN00101M,Grande Reyssouze Terre Des Fleurs
QN00102M,Croix Blanche
QN00103M,Les Courbes De L'Albarine
QN00104M,La Plaine - La Forge - Guynemer
QN00105I,Pré des Saules
QN00106M,Clos Morcel - Brillat-Savarin - Bouvardière
QN00107M,La Maladière - Les Peupliers
QN00201M,Europe
QN00202M,Faubourg D'Isle
QN00203M,Neuville
QN00204M,Vermandois
QN00205M,Champ Roland Et Bords De L'Oise
QN00206M,Gare Et Verrière
QN00207M,Quartier De L'Artilleur
QN00208M,Roosevelt Rebequet
QN00209M,Quartier De La Résidence
QN00210M,Montreuil
QN00211M,Champagne Moulin - Roux
QN00212M,Saint-Crépin Ouest
QN00213M,Presles
QN00214M,Chevreux
QN00215M,Route De Vivières
QN00216M,Blanchard
QN00217M,Vaucrises
QN00301M,Cœur D'Agglo
QN00302I,Les Ailes/Port Charmeil
QN00303M,Moulins-Sud
QN00304M,Rive Gauche
QN00305M,Fontbouillant
QN00306M,Bien-Assis
QN00401M,Centre Ville - Pigeonnier
QN00402M,Quartier Est
QN00403M,Quartier Ouest
QN00501M,Quartier du Haut-Gap
QN00601M,Las Planas - Le Rouret
QN00602M,Cœur De Ville - Hauts De Vallauris
QN00603M,Ranguin - Saint Pierre - Colline - Frayère
QN00604M,Grand Centre
QN00605I,Les Fleurs de Grasse
QN00606I,La Condamine
QN00607M,Centre
QN00608I,Les Moulins - Le Point Du Jour
QN00609I,Les Sagnes
QN00610M,Centre
QN00611M,Paillon
QN00612M,Ariane - Le Manoir - Gares
QN00613M,Centre
QN00614N,Le Château
QN00701I,Quartiers D'Avenir
QN00702M,Cœur De Ville
QN00703I,Sud Avenir
QN00704M,Les Hauts De Ville
QN00705M,Nouvel Horizon
QN00801M,Manchester
QN00802M,Ronde Couture
QN00803I,La Houillère
QN00804M,La Couronne
QN00805M,Torcy Cités
QN00806M,Torcy Centre
QN00807M,Le Lac - Centre Ancien
QN00808M,Cœur De Vie
QN00901M,Cœur De Ville
QN00902M,Centre Ancien - Quartier de la Gare
QN00903I,Centre Ancien - La Gloriette
QN01001I,Gare
QN01002M,Bords De Seine
QN01003M,Chantereigne Montvilliers Beau-Toquat
QN01004I,Debussy
QN01005M,Maugout
QN01006M,Chartreux Lisière
QN01007I,Jules Guesde
QN01008I,Sénardes
QN01009M,Point Du Jour
QN01010M,Lumières Boucher Champagne
QN01101I,Quartier Aude
QN01102I,La Conte - Ozanam
QN01103I,Le Viguier - Saint-Jacques
QN01104I,Bastide Pont-Vieux
QN01105I,Fleming La Reille
QN01106M,Grazailles
QN01107I,Narbonne Ouest
QN01108I,Narbonne Centre
QN01109I,Narbonne Est
QN01110I,Centre-ville
QN01201M,Quatre Saisons
QN01202M,"Bastide, Tricot et Lapeyrade"
QN01203N,Costes Rouges
QN01204N,Saint- Éloi et Camonil
QN01205N,Centre ancien et Beauregard
QN01301M,Florida Parc
QN01302M,Quartier Centre Ville
QN01303I,Saint Henri
QN01304I,La Viste
QN01305M,Roquecoquille
QN01306M,La Gavotte - Peyret
QN01307M,Château Saint Loup
QN01308I,La Capelette
QN01309M,Griffeuille
QN01310I,Barriol
QN01311I,Le Trébon
QN01312M,Centre Historique - Ferrages
QN01313M,Jas-De-Bouffan
QN01314M,Beisson
QN01315M,Encagnane
QN01316M,Corsy
QN01317I,Secteur Centre
QN01318I,La Frescoule
QN01319I,Le Charrel
QN01320I,Mas de Pouane
QN01321I,Notre Dame Des Marins
QN01322M,Canto Perdrix
QN01323I,Les Aigues Douces
QN01324M,Les Comtes
QN01325M,Centre Historique
QN01326I,Quartier Béalet-Bessons-Mariélie
QN01327I,Les Canourgues
QN01328I,La Monaque
QN01329I,Centre ville
QN01330M,Centre Ville 1er et 2e Arrondissements
QN01331M,Canet Arnavaux Jean Jaurès
QN01332M,Centre Ville 3e Arrondissement
QN01333I,La Cravache Le Trioulet
QN01334I,La Cayolle
QN01335M,La Sauvagère
QN01336M,Benza
QN01337I,Saint Thys
QN01338I,Air Bel
QN01339I,La Rouguière
QN01340I,Valbarelle Néréïdes Bosquet
QN01341I,Les Escourtines
QN01342I,Malpassé Corot
QN01343I,Balustres Cerisaie
QN01344M,Frais Vallon
QN01345M,Le Clos La Rose
QN01346M,Le Petit Séminaire
QN01347I,La Marie
QN01348M,Les Olives
QN01349M,La Simiane La Paternelle Vieux Moulin
QN01350M,Saint Gabriel Bon Secours
QN01351M,Saint Jérôme Les Tilleuls
QN01352M,Grand Saint Barthélémy
QN01353M,Le Castellas Les Micocouliers
QN01354M,La Castellane La Bricarde
QN01355M,Plan d'Aou Saint Antoine
QN01356I,Consolat Ruisseau Mirabeau
QN01357M,Saint Louis Campagne Lévêque
QN01358I,Les Aygalades
QN01359I,Kalliste La Granière La Solidarité
QN01360M,La Savine Bosphore
QN01361I,Les Tilleuls La Maurelette
QN01362I,Cap Janet La Cabucelle Les Crottes
QN01363I,La Visitation - Bassens
QN01364I,Saint André
QN01365M,Le Prépaou
QN01366I,La Carraire
QN01367M,La Maille
QN01368M,La Soude Bengale
QN01369I,Caillols La Moularde
QN01370N,Boudème-Les Deux Portes-Bargemont
QN01371N,Quartier prioritaire de Port-Saint-Louis
QN01401M,Chemin Vert
QN01402M,Grâce De Dieu
QN01403M,Guérinière
QN01404M,Pierre Heuzé
QN01405I,Calvaire Saint Pierre
QN01406M,Grande Delle - Val - Belles Portes - Grand Parc - Haute Folie - Le Bois
QN01407M,Le quartier prioritaire de Honfleur
QN01408M,Hauteville
QN01501M,Aurillac Sud
QN01601M,Basseau - Grande Garenne
QN01602I,Ma Campagne
QN01603M,Bel Air - La Grand Font
QN01604M,L'Etang Des Moines
QN01605M,Champ De Manœuvre
QN01606M,Crouin
QN01701M,Mireuil
QN01702M,Villeneuve-Les-Salines
QN01703M,Boiffiers - Bellevue
QN01704I,Sud Centre-Ville - Avant-Garde
QN01705M,Petit Marseille - Gélinerie
QN01706M,L'Estuaire
QN01707M,Port-Neuf
QN01801M,Bourges Nord
QN01802M,Val d'Auron - Bourges
QN01803M,Le Vernet - Saint Amand Montrond
QN01804M,Clos Du Roy - Centre Ville - Vierzon
QN01901M,Quartier de Rivet
QN01902M,Quartier Tujac-Gaubre
QN01903M,Quartier des Chapélies
QN02101M,Le Mail
